n,growth_factor,load_threshold,seed,repetition,input_type,elapsed_time,time_per_operation,collisions,collisions_per_operation,rehashes,rehash_operations,final_capacity,final_size,final_load_factor,unused_capacity,utilization,insert_cost,rehash_cost,total_operation_cost,amortized_cost,estimated_memory,initial_capacity,hash_a,hash_b,hash_prime
1000,1.5,0.75,53,12,random,0.0010025000083260238,1.0025000083260238e-06,456,0.456,11,2073,1395,1000,0.7168458781362007,395,0.7168458781362007,3000,6219,9219,9.219,140704,16,1967359095987829717,498185230560009946,2305843009213693951
1000,1.5,0.9,53,12,random,0.0010938999912468717,1.0938999912468717e-06,522,0.522,11,2484,1395,1000,0.7168458781362007,395,0.7168458781362007,3000,7452,10452,10.452,140704,16,1967359095987829717,498185230560009946,2305843009213693951
1000,2.0,0.5,53,12,random,0.0007559999939985573,7.559999939985573e-07,288,0.288,7,1023,2048,1000,0.48828125,1048,0.48828125,3000,3069,6069,6.069,187256,16,1967359095987829717,498185230560009946,2305843009213693951
1000,2.0,0.75,53,12,random,0.0008314000006066635,8.314000006066635e-07,391,0.391,7,1531,2048,1000,0.48828125,1048,0.48828125,3000,4593,7593,7.593,187256,16,1967359095987829717,498185230560009946,2305843009213693951
1000,2.0,0.9,53,12,random,0.000901999999769032,9.01999999769032e-07,477,0.477,7,1832,2048,1000,0.48828125,1048,0.48828125,3000,5496,8496,8.496,187256,16,1967359095987829717,498185230560009946,2305843009213693951
1000,3.0,0.5,53,12,random,0.0007465000089723617,7.465000089723616e-07,231,0.231,5,973,3888,1000,0.257201646090535,2888,0.257201646090535,3000,2919,5919,5.919,307832,16,1967359095987829717,498185230560009946,2305843009213693951
1000,3.0,0.75,53,12,random,0.0008577999979024753,8.577999979024753e-07,357,0.357,5,1457,3888,1000,0.257201646090535,2888,0.257201646090535,3000,4371,7371,7.371,307832,16,1967359095987829717,498185230560009946,2305843009213693951
1000,3.0,0.9,53,12,random,0.0004929999995511025,4.929999995511025e-07,396,0.396,4,578,1296,1000,0.7716049382716049,296,0.7716049382716049,3000,1734,4734,4.734,135096,16,1967359095987829717,498185230560009946,2305843009213693951
1000,1.5,0.5,54,13,random,0.0011005999986082315,1.1005999986082316e-06,330,0.33,12,2084,2093,1000,0.47778308647873863,1093,0.47778308647873863,3000,6252,9252,9.252,188784,16,2258536001366688123,1012121370449003109,2305843009213693951
1000,1.5,0.75,54,13,random,0.0009969999955501407,9.969999955501407e-07,470,0.47,11,2073,1395,1000,0.7168458781362007,395,0.7168458781362007,3000,6219,9219,9.219,140928,16,2258536001366688123,1012121370449003109,2305843009213693951
1000,1.5,0.9,54,13,random,0.001087199998437427,1.087199998437427e-06,519,0.519,11,2484,1395,1000,0.7168458781362007,395,0.7168458781362007,3000,7452,10452,10.452,140928,16,2258536001366688123,1012121370449003109,2305843009213693951
1000,2.0,0.5,54,13,random,0.0007093000021995977,7.093000021995976e-07,294,0.294,7,1023,2048,1000,0.48828125,1048,0.48828125,3000,3069,6069,6.069,187032,16,2258536001366688123,1012121370449003109,2305843009213693951
