n,repetition,gamma,tau,probe_collisions,total_probes,resize_count,moved_entries,final_capacity,elapsed_ns
1000,21,3.0,0.9,5954,6954,5,1399,3163,1357400
1000,22,1.5,0.5,861,1861,13,2863,2927,1583200
1000,22,1.5,0.75,2773,3773,12,2837,1949,1829900
1000,22,1.5,0.9,7805,8805,11,2246,1289,1964600
1000,22,2.0,0.5,696,1696,8,1579,3203,1128900
1000,22,2.0,0.75,2357,3357,7,1173,1597,1085200
1000,22,2.0,0.9,6268,7268,7,1409,1597,1500100
1000,22,3.0,0.5,499,1499,5,776,3163,787100
1000,22,3.0,0.75,1828,2828,5,1165,3163,1031600
1000,22,3.0,0.9,4746,5746,5,1399,3163,1800100
1000,23,1.5,0.5,942,1942,13,2863,2927,2314200
1000,23,1.5,0.75,2997,3997,12,2837,1949,1799000
1000,23,1.5,0.9,7405,8405,11,2246,1289,2016400
1000,23,2.0,0.5,628,1628,8,1579,3203,1163900
1000,23,2.0,0.75,1831,2831,7,1173,1597,1101300
1000,23,2.0,0.9,4447,5447,7,1409,1597,1393200
1000,23,3.0,0.5,506,1506,5,776,3163,805900
1000,23,3.0,0.75,1589,2589,5,1165,3163,1019600
1000,23,3.0,0.9,4718,5718,5,1399,3163,1385100
1000,24,1.5,0.5,844,1844,13,2863,2927,1751200
1000,24,1.5,0.75,2989,3989,12,2837,1949,2346900
1000,24,1.5,0.9,7320,8320,11,2246,1289,2043900
1000,24,2.0,0.5,789,1789,8,1579,3203,1017900
1000,24,2.0,0.75,2388,3388,7,1173,1597,1002000
1000,24,2.0,0.9,5952,6952,7,1409,1597,1352100
1000,24,3.0,0.5,514,1514,5,776,3163,736000
1000,24,3.0,0.75,1671,2671,5,1165,3163,949100
1000,24,3.0,0.9,4823,5823,5,1399,3163,1283200
1000,25,1.5,0.5,789,1789,13,2863,2927,1659900
1000,25,1.5,0.75,3333,4333,12,2837,1949,1763500
1000,25,1.5,0.9,8331,9331,11,2246,1289,2218300
1000,25,2.0,0.5,721,1721,8,1579,3203,1151700
1000,25,2.0,0.75,2055,3055,7,1173,1597,955000
1000,25,2.0,0.9,8305,9305,7,1409,1597,1493800
1000,25,3.0,0.5,484,1484,5,776,3163,720000
1000,25,3.0,0.75,1698,2698,5,1165,3163,941500
1000,25,3.0,0.9,4871,5871,5,1399,3163,1282300
1000,26,1.5,0.5,1082,2082,13,2863,2927,1838300
1000,26,1.5,0.75,3014,4014,12,2837,1949,1857200
1000,26,1.5,0.9,8401,9401,11,2246,1289,2025100
1000,26,2.0,0.5,734,1734,8,1579,3203,1141300
1000,26,2.0,0.75,1982,2982,7,1173,1597,1089300
1000,26,2.0,0.9,5025,6025,7,1409,1597,1744600
1000,26,3.0,0.5,500,1500,5,776,3163,761500
1000,26,3.0,0.75,1906,2906,5,1165,3163,938400
1000,26,3.0,0.9,7071,8071,5,1399,3163,1365900
1000,27,1.5,0.5,937,1937,13,2863,2927,1565000
1000,27,1.5,0.75,3295,4295,12,2837,1949,1746600
1000,27,1.5,0.9,9542,10542,11,2246,1289,2098300
1000,27,2.0,0.5,754,1754,8,1579,3203,1061300
1000,27,2.0,0.75,2384,3384,7,1173,1597,1031300
1000,27,2.0,0.9,5430,6430,7,1409,1597,1334800
1000,27,3.0,0.5,504,1504,5,776,3163,749900
1000,27,3.0,0.75,1475,2475,5,1165,3163,954700
1000,27,3.0,0.9,3944,4944,5,1399,3163,1241500
1000,28,1.5,0.5,1025,2025,13,2863,2927,2309000
1000,28,1.5,0.75,3513,4513,12,2837,1949,1745600
1000,28,1.5,0.9,9803,10803,11,2246,1289,2305100
1000,28,2.0,0.5,641,1641,8,1579,3203,1147100
1000,28,2.0,0.75,2089,3089,7,1173,1597,1207000
1000,28,2.0,0.9,4266,5266,7,1409,1597,1220500
1000,28,3.0,0.5,441,1441,5,776,3163,738800
1000,28,3.0,0.75,1517,2517,5,1165,3163,958400
1000,28,3.0,0.9,6315,7315,5,1399,3163,1446400
1000,29,1.5,0.5,823,1823,13,2863,2927,1742100
1000,29,1.5,0.75,2943,3943,12,2837,1949,2471500
1000,29,1.5,0.9,7499,8499,11,2246,1289,1931900
1000,29,2.0,0.5,929,1929,8,1579,3203,1198800
1000,29,2.0,0.75,2501,3501,7,1173,1597,1018700
1000,29,2.0,0.9,5203,6203,7,1409,1597,1392800
1000,29,3.0,0.5,464,1464,5,776,3163,724800
1000,29,3.0,0.75,1946,2946,5,1165,3163,974600
1000,29,3.0,0.9,5547,6547,5,1399,3163,1316100
1000,30,1.5,0.5,942,1942,13,2863,2927,1662600
1000,30,1.5,0.75,3115,4115,12,2837,1949,1781400
1000,30,1.5,0.9,8182,9182,11,2246,1289,1931100
1000,30,2.0,0.5,740,1740,8,1579,3203,1256000
1000,30,2.0,0.75,1932,2932,7,1173,1597,1064200
1000,30,2.0,0.9,4552,5552,7,1409,1597,1638000
1000,30,3.0,0.5,557,1557,5,776,3163,754100
1000,30,3.0,0.75,1587,2587,5,1165,3163,963800
1000,30,3.0,0.9,5994,6994,5,1399,3163,1523000
10000,1,1.5,0.5,8889,18889,18,22203,22303,14987200
10000,1,1.5,0.75,31240,41240,17,22160,14867,16279000
10000,1,1.5,0.9,104959,114959,17,26594,14867,23644600
10000,1,2.0,0.5,7464,17464,11,12816,25717,11482500
10000,1,2.0,0.75,26235,36235,11,19226,25717,14136400
10000,1,2.0,0.9,72304,82304,10,11506,12853,14811800
10000,1,3.0,0.5,5186,15186,7,7102,28477,7254400
10000,1,3.0,0.75,15851,25851,7,10655,28477,11207500
10000,1,3.0,0.9,61647,71647,7,12786,28477,15251800
10000,2,1.5,0.5,9967,19967,18,22203,22303,15445600
10000,2,1.5,0.75,30322,40322,17,22160,14867,20200800
10000,2,1.5,0.9,92304,102304,17,26594,14867,24117700
10000,2,2.0,0.5,7120,17120,11,12816,25717,9798300
10000,2,2.0,0.75,23820,33820,11,19226,25717,13893300
10000,2,2.0,0.9,59094,69094,10,11506,12853,16738100
10000,2,3.0,0.5,5224,15224,7,7102,28477,8244700
10000,2,3.0,0.75,16667,26667,7,10655,28477,10628500
10000,2,3.0,0.9,52277,62277,7,12786,28477,13934600
10000,3,1.5,0.5,10429,20429,18,22203,22303,14512100
10000,3,1.5,0.75,30706,40706,17,22160,14867,16356600
10000,3,1.5,0.9,97123,107123,17,26594,14867,25409000
10000,3,2.0,0.5,9493,19493,11,12816,25717,9758200
10000,3,2.0,0.75,30055,40055,11,19226,25717,15997600
10000,3,2.0,0.9,65606,75606,10,11506,12853,15534900
10000,3,3.0,0.5,5217,15217,7,7102,28477,8381400
10000,3,3.0,0.75,16680,26680,7,10655,28477,9523900
10000,3,3.0,0.9,56364,66364,7,12786,28477,14105300
10000,4,1.5,0.5,8976,18976,18,22203,22303,14840900
10000,4,1.5,0.75,31212,41212,17,22160,14867,18181400
10000,4,1.5,0.9,113573,123573,17,26594,14867,24892900
10000,4,2.0,0.5,7135,17135,11,12816,25717,10231600
10000,4,2.0,0.75,24000,34000,11,19226,25717,14535000
10000,4,2.0,0.9,57655,67655,10,11506,12853,13628900
10000,4,3.0,0.5,5112,15112,7,7102,28477,8823500
10000,4,3.0,0.75,16057,26057,7,10655,28477,10086700
10000,4,3.0,0.9,49530,59530,7,12786,28477,13624300
10000,5,1.5,0.5,10394,20394,18,22203,22303,15572200
10000,5,1.5,0.75,31293,41293,17,22160,14867,19200100
10000,5,1.5,0.9,100778,110778,17,26594,14867,27450600
10000,5,2.0,0.5,7085,17085,11,12816,25717,11380700
10000,5,2.0,0.75,25259,35259,11,19226,25717,14574600
10000,5,2.0,0.9,62580,72580,10,11506,12853,15722500
10000,5,3.0,0.5,5128,15128,7,7102,28477,8177000
10000,5,3.0,0.75,15845,25845,7,10655,28477,11543900
10000,5,3.0,0.9,59390,69390,7,12786,28477,16242200
10000,6,1.5,0.5,9180,19180,18,22203,22303,17077000
10000,6,1.5,0.75,32112,42112,17,22160,14867,18599700
10000,6,1.5,0.9,96311,106311,17,26594,14867,28237500
10000,6,2.0,0.5,7329,17329,11,12816,25717,14902900
10000,6,2.0,0.75,24911,34911,11,19226,25717,18248400
10000,6,2.0,0.9,56774,66774,10,11506,12853,19325300
10000,6,3.0,0.5,5380,15380,7,7102,28477,9838800
10000,6,3.0,0.75,15188,25188,7,10655,28477,9190100
10000,6,3.0,0.9,46421,56421,7,12786,28477,14188900
10000,7,1.5,0.5,8966,18966,18,22203,22303,14298700
10000,7,1.5,0.75,29889,39889,17,22160,14867,16290400
10000,7,1.5,0.9,97798,107798,17,26594,14867,25768400
10000,7,2.0,0.5,7727,17727,11,12816,25717,10121600
10000,7,2.0,0.75,25860,35860,11,19226,25717,15766900
10000,7,2.0,0.9,68526,78526,10,11506,12853,15297800
10000,7,3.0,0.5,4913,14913,7,7102,28477,8438600
10000,7,3.0,0.75,15767,25767,7,10655,28477,10074100
10000,7,3.0,0.9,54531,64531,7,12786,28477,14075800
10000,8,1.5,0.5,8851,18851,18,22203,22303,13546600
10000,8,1.5,0.75,30255,40255,17,22160,14867,16765300
10000,8,1.5,0.9,92419,102419,17,26594,14867,25437300
10000,8,2.0,0.5,6930,16930,11,12816,25717,10814500
10000,8,2.0,0.75,25011,35011,11,19226,25717,13712600
10000,8,2.0,0.9,60237,70237,10,11506,12853,14825100
10000,8,3.0,0.5,5323,15323,7,7102,28477,8652700
10000,8,3.0,0.75,15949,25949,7,10655,28477,9995500
10000,8,3.0,0.9,53831,63831,7,12786,28477,13177900
10000,9,1.5,0.5,8592,18592,18,22203,22303,17083100
10000,9,1.5,0.75,29356,39356,17,22160,14867,16689700
10000,9,1.5,0.9,95724,105724,17,26594,14867,24163100
10000,9,2.0,0.5,7297,17297,11,12816,25717,10597300
10000,9,2.0,0.75,25075,35075,11,19226,25717,16636900
10000,9,2.0,0.9,55965,65965,10,11506,12853,16173400
10000,9,3.0,0.5,4839,14839,7,7102,28477,7752400
10000,9,3.0,0.75,15292,25292,7,10655,28477,11178300
10000,9,3.0,0.9,61891,71891,7,12786,28477,15810300
10000,10,1.5,0.5,9373,19373,18,22203,22303,14603600
10000,10,1.5,0.75,31117,41117,17,22160,14867,15998400
10000,10,1.5,0.9,111172,121172,17,26594,14867,25264500
10000,10,2.0,0.5,7164,17164,11,12816,25717,11734300
10000,10,2.0,0.75,25415,35415,11,19226,25717,16417000
10000,10,2.0,0.9,61465,71465,10,11506,12853,14906600
10000,10,3.0,0.5,5142,15142,7,7102,28477,7803800
10000,10,3.0,0.75,16199,26199,7,10655,28477,9363000
10000,10,3.0,0.9,55022,65022,7,12786,28477,13691000
10000,11,1.5,0.5,9210,19210,18,22203,22303,14485300
10000,11,1.5,0.75,32222,42222,17,22160,14867,17178600
10000,11,1.5,0.9,98828,108828,17,26594,14867,24598400
10000,11,2.0,0.5,6473,16473,11,12816,25717,10489700
10000,11,2.0,0.75,23908,33908,11,19226,25717,14428400
10000,11,2.0,0.9,59025,69025,10,11506,12853,14602600
10000,11,3.0,0.5,5152,15152,7,7102,28477,7800200
10000,11,3.0,0.75,16946,26946,7,10655,28477,10914100
10000,11,3.0,0.9,65589,75589,7,12786,28477,15917700
10000,12,1.5,0.5,9027,19027,18,22203,22303,15240300
10000,12,1.5,0.75,31692,41692,17,22160,14867,16494600
10000,12,1.5,0.9,111752,121752,17,26594,14867,26369700
10000,12,2.0,0.5,7211,17211,11,12816,25717,9562500
10000,12,2.0,0.75,25012,35012,11,19226,25717,15478900
10000,12,2.0,0.9,61105,71105,10,11506,12853,14484700
10000,12,3.0,0.5,5218,15218,7,7102,28477,8598200
10000,12,3.0,0.75,15112,25112,7,10655,28477,9627200
10000,12,3.0,0.9,46708,56708,7,12786,28477,13969600
10000,13,1.5,0.5,9444,19444,18,22203,22303,15515400
10000,13,1.5,0.75,33284,43284,17,22160,14867,17340200
10000,13,1.5,0.9,108809,118809,17,26594,14867,29373700
10000,13,2.0,0.5,6914,16914,11,12816,25717,10826000
10000,13,2.0,0.75,25596,35596,11,19226,25717,15707600
10000,13,2.0,0.9,64459,74459,10,11506,12853,14080000
10000,13,3.0,0.5,5125,15125,7,7102,28477,7736400
10000,13,3.0,0.75,16193,26193,7,10655,28477,11040000
10000,13,3.0,0.9,49060,59060,7,12786,28477,13658500
10000,14,1.5,0.5,8873,18873,18,22203,22303,14174400
10000,14,1.5,0.75,33262,43262,17,22160,14867,16488100
10000,14,1.5,0.9,100702,110702,17,26594,14867,24148600
10000,14,2.0,0.5,7074,17074,11,12816,25717,10588700
10000,14,2.0,0.75,26150,36150,11,19226,25717,14653100
10000,14,2.0,0.9,67387,77387,10,11506,12853,14152900
10000,14,3.0,0.5,5106,15106,7,7102,28477,8063900
10000,14,3.0,0.75,15644,25644,7,10655,28477,9777400
10000,14,3.0,0.9,50733,60733,7,12786,28477,12709400
10000,15,1.5,0.5,9517,19517,18,22203,22303,14194400
10000,15,1.5,0.75,29897,39897,17,22160,14867,18168900
10000,15,1.5,0.9,109430,119430,17,26594,14867,26154300
10000,15,2.0,0.5,7165,17165,11,12816,25717,11758000
10000,15,2.0,0.75,25533,35533,11,19226,25717,15422300
10000,15,2.0,0.9,68210,78210,10,11506,12853,15799900
10000,15,3.0,0.5,5064,15064,7,7102,28477,7072600
10000,15,3.0,0.75,15937,25937,7,10655,28477,9941300
10000,15,3.0,0.9,54217,64217,7,12786,28477,15000600
10000,16,1.5,0.5,9552,19552,18,22203,22303,14989600
10000,16,1.5,0.75,32190,42190,17,22160,14867,16005500
10000,16,1.5,0.9,107164,117164,17,26594,14867,24331800
10000,16,2.0,0.5,6653,16653,11,12816,25717,10330200
10000,16,2.0,0.75,23422,33422,11,19226,25717,15404400
10000,16,2.0,0.9,54979,64979,10,11506,12853,14539000
10000,16,3.0,0.5,5055,15055,7,7102,28477,8435600
10000,16,3.0,0.75,15317,25317,7,10655,28477,10665200
10000,16,3.0,0.9,47136,57136,7,12786,28477,13319800
10000,17,1.5,0.5,9178,19178,18,22203,22303,16064000
10000,17,1.5,0.75,29748,39748,17,22160,14867,17876200
10000,17,1.5,0.9,100761,110761,17,26594,14867,24560800
10000,17,2.0,0.5,10671,20671,11,12816,25717,10652300
10000,17,2.0,0.75,25079,35079,11,19226,25717,14581500
10000,17,2.0,0.9,50786,60786,10,11506,12853,14738300
10000,17,3.0,0.5,5497,15497,7,7102,28477,7490500
10000,17,3.0,0.75,16498,26498,7,10655,28477,10465000
10000,17,3.0,0.9,55618,65618,7,12786,28477,14425900
10000,18,1.5,0.5,9344,19344,18,22203,22303,14138700
10000,18,1.5,0.75,29514,39514,17,22160,14867,16877700
10000,18,1.5,0.9,93222,103222,17,26594,14867,22874300
10000,18,2.0,0.5,7106,17106,11,12816,25717,9934800
10000,18,2.0,0.75,25037,35037,11,19226,25717,16529200
10000,18,2.0,0.9,54728,64728,10,11506,12853,13955500
10000,18,3.0,0.5,5535,15535,7,7102,28477,7107900
