run_id,resize_number,old_capacity,new_capacity,gamma_effective,size,trigger_load,alpha_pre,alpha_post,moved_entries,pair_collisions_after,old_hash_a,old_hash_b,new_hash_a,new_hash_b
n1000-g2-t0.7-r1-h31042,3,47,97,2.0638297872340425,32,0.7021276595744681,0.6808510638297872,0.32989690721649484,32,3,1066652072911828271,605471332473462994,1039257429923810267,1671058991692678914
n1000-g2-t0.7-r1-h31042,4,97,197,2.0309278350515463,67,0.7010309278350515,0.6907216494845361,0.3401015228426396,67,16,1039257429923810267,1671058991692678914,289208513342756656,1737239256259392775
n1000-g2-t0.7-r1-h31042,5,197,397,2.015228426395939,137,0.700507614213198,0.6954314720812182,0.345088161209068,137,20,289208513342756656,1737239256259392775,1175790274723732104,1110046690991243311
n1000-g2-t0.7-r1-h31042,6,397,797,2.0075566750629723,277,0.7002518891687658,0.6977329974811083,0.3475533249686324,277,55,1175790274723732104,1110046690991243311,2223751552928785042,585906322912266558
n1000-g2-t0.7-r1-h31042,7,797,1597,2.0037641154328734,557,0.7001254705144291,0.698870765370138,0.3487789605510332,557,112,2223751552928785042,585906322912266558,216001057262141823,1258409179699703360
n1000-g2-t0.5-r1-h31042,1,11,23,2.090909090909091,5,0.5454545454545454,0.45454545454545453,0.21739130434782608,5,0,1747481948824663489,1018574062632349030,1568554954941751187,1058122835884555215
n1000-g2-t0.5-r1-h31042,2,23,47,2.0434782608695654,11,0.5217391304347826,0.4782608695652174,0.23404255319148937,11,2,1568554954941751187,1058122835884555215,1066652072911828271,605471332473462994
n1000-g2-t0.5-r1-h31042,3,47,97,2.0638297872340425,23,0.5106382978723404,0.48936170212765956,0.23711340206185566,23,0,1066652072911828271,605471332473462994,1039257429923810267,1671058991692678914
n1000-g2-t0.5-r1-h31042,4,97,197,2.0309278350515463,48,0.5051546391752577,0.4948453608247423,0.2436548223350254,48,10,1039257429923810267,1671058991692678914,289208513342756656,1737239256259392775
n1000-g2-t0.5-r1-h31042,5,197,397,2.015228426395939,98,0.5025380710659898,0.49746192893401014,0.24685138539042822,98,9,289208513342756656,1737239256259392775,1175790274723732104,1110046690991243311
n1000-g2-t0.5-r1-h31042,6,397,797,2.0075566750629723,198,0.5012594458438288,0.4987405541561713,0.24843161856963614,198,25,1175790274723732104,1110046690991243311,2223751552928785042,585906322912266558
n1000-g2-t0.5-r1-h31042,7,797,1597,2.0037641154328734,398,0.5006273525721455,0.4993726474278545,0.24921728240450847,398,59,2223751552928785042,585906322912266558,216001057262141823,1258409179699703360
n1000-g2-t0.5-r1-h31042,8,1597,3203,2.005635566687539,798,0.5003130870381967,0.4996869129618034,0.2491414299094599,798,91,216001057262141823,1258409179699703360,1818499928968777257,1871060345558551550
n1000-g4-t0.9-r1-h31042,1,11,47,4.2727272727272725,9,0.9090909090909091,0.8181818181818182,0.19148936170212766,9,1,1747481948824663489,1018574062632349030,1568554954941751187,1058122835884555215
n1000-g4-t0.9-r1-h31042,2,47,191,4.0638297872340425,42,0.9148936170212766,0.8936170212765957,0.2198952879581152,42,6,1568554954941751187,1058122835884555215,1066652072911828271,605471332473462994
n1000-g4-t0.9-r1-h31042,3,191,769,4.026178010471204,171,0.900523560209424,0.8952879581151832,0.2223667100130039,171,19,1066652072911828271,605471332473462994,1039257429923810267,1671058991692678914
n1000-g4-t0.9-r1-h31042,4,769,3079,4.003901170351106,692,0.9011703511053316,0.8998699609882965,0.22474829490094186,692,76,1039257429923810267,1671058991692678914,289208513342756656,1737239256259392775
n1000-g4-t0.5-r1-h31042,1,11,47,4.2727272727272725,5,0.5454545454545454,0.45454545454545453,0.10638297872340426,5,0,1747481948824663489,1018574062632349030,1568554954941751187,1058122835884555215
n1000-g4-t0.5-r1-h31042,2,47,191,4.0638297872340425,23,0.5106382978723404,0.48936170212765956,0.12041884816753927,23,2,1568554954941751187,1058122835884555215,1066652072911828271,605471332473462994
n1000-g4-t0.5-r1-h31042,3,191,769,4.026178010471204,95,0.5026178010471204,0.4973821989528796,0.1235370611183355,95,4,1066652072911828271,605471332473462994,1039257429923810267,1671058991692678914
n1000-g4-t0.5-r1-h31042,4,769,3079,4.003901170351106,384,0.5006501950585176,0.49934980494148246,0.12471581682364404,384,24,1039257429923810267,1671058991692678914,289208513342756656,1737239256259392775
n1000-g3-t0.7-r1-h31042,1,11,37,3.3636363636363638,7,0.7272727272727273,0.6363636363636364,0.1891891891891892,7,0,1747481948824663489,1018574062632349030,1568554954941751187,1058122835884555215
n1000-g3-t0.7-r1-h31042,2,37,113,3.054054054054054,25,0.7027027027027027,0.6756756756756757,0.22123893805309736,25,1,1568554954941751187,1058122835884555215,1066652072911828271,605471332473462994
n1000-g3-t0.7-r1-h31042,3,113,347,3.0707964601769913,79,0.7079646017699115,0.6991150442477876,0.2276657060518732,79,7,1066652072911828271,605471332473462994,1039257429923810267,1671058991692678914
n1000-g3-t0.7-r1-h31042,4,347,1049,3.0230547550432276,242,0.7002881844380403,0.6974063400576369,0.23069590085795996,242,21,1039257429923810267,1671058991692678914,289208513342756656,1737239256259392775
n1000-g3-t0.7-r1-h31042,5,1049,3163,3.015252621544328,734,0.7006673021925643,0.6997140133460439,0.2320581726209295,734,79,289208513342756656,1737239256259392775,1175790274723732104,1110046690991243311
n1000-g1.25-t0.8-r1-h31042,1,11,17,1.5454545454545454,8,0.8181818181818182,0.7272727272727273,0.47058823529411764,8,4,1747481948824663489,1018574062632349030,1568554954941751187,1058122835884555215
n1000-g1.25-t0.8-r1-h31042,2,17,23,1.3529411764705883,13,0.8235294117647058,0.7647058823529411,0.5652173913043478,13,1,1568554954941751187,1058122835884555215,1066652072911828271,605471332473462994
n1000-g1.25-t0.8-r1-h31042,3,23,29,1.2608695652173914,18,0.8260869565217391,0.782608695652174,0.6206896551724138,18,2,1066652072911828271,605471332473462994,1039257429923810267,1671058991692678914
n1000-g1.25-t0.8-r1-h31042,4,29,37,1.2758620689655173,23,0.8275862068965517,0.7931034482758621,0.6216216216216216,23,7,1039257429923810267,1671058991692678914,289208513342756656,1737239256259392775
n1000-g1.25-t0.8-r1-h31042,5,37,47,1.2702702702702702,29,0.8108108108108109,0.7837837837837838,0.6170212765957447,29,6,289208513342756656,1737239256259392775,1175790274723732104,1110046690991243311
n1000-g1.25-t0.8-r1-h31042,6,47,59,1.2553191489361701,37,0.8085106382978723,0.7872340425531915,0.6271186440677966,37,14,1175790274723732104,1110046690991243311,2223751552928785042,585906322912266558
n1000-g1.25-t0.8-r1-h31042,7,59,79,1.3389830508474576,47,0.8135593220338984,0.7966101694915254,0.5949367088607594,47,10,2223751552928785042,585906322912266558,216001057262141823,1258409179699703360
n1000-g1.25-t0.8-r1-h31042,8,79,101,1.2784810126582278,63,0.810126582278481,0.7974683544303798,0.6237623762376238,63,15,216001057262141823,1258409179699703360,1818499928968777257,1871060345558551550
n1000-g1.25-t0.8-r1-h31042,9,101,127,1.2574257425742574,80,0.801980198019802,0.7920792079207921,0.6299212598425197,80,22,1818499928968777257,1871060345558551550,842103669965125932,1719460426985524411
n1000-g1.25-t0.8-r1-h31042,10,127,163,1.2834645669291338,101,0.8031496062992126,0.7952755905511811,0.6196319018404908,101,32,842103669965125932,1719460426985524411,663312402986563884,1147830989259873065
n1000-g1.25-t0.8-r1-h31042,11,163,211,1.294478527607362,130,0.803680981595092,0.7975460122699386,0.6161137440758294,130,37,663312402986563884,1147830989259873065,530133399472470732,283097919641614406
n1000-g1.25-t0.8-r1-h31042,12,211,269,1.2748815165876777,168,0.8009478672985783,0.7962085308056872,0.6245353159851301,168,47,530133399472470732,283097919641614406,1055129681217370319,1286563909733345339
n1000-g1.25-t0.8-r1-h31042,13,269,337,1.2527881040892193,215,0.8029739776951673,0.7992565055762082,0.6379821958456974,215,78,1055129681217370319,1286563909733345339,475811965840538922,361802660261835333
n1000-g1.25-t0.8-r1-h31042,14,337,431,1.2789317507418398,269,0.8011869436201781,0.798219584569733,0.6241299303944315,269,79,475811965840538922,361802660261835333,511551704733751547,74427130775316711
n1000-g1.25-t0.8-r1-h31042,15,431,541,1.2552204176334107,344,0.8004640371229699,0.7981438515081206,0.6358595194085028,344,111,511551704733751547,74427130775316711,2159004646025084710,128890867864186189
n1000-g1.25-t0.8-r1-h31042,16,541,677,1.2513863216266174,432,0.800369685767098,0.7985212569316081,0.638109305760709,432,132,2159004646025084710,128890867864186189,2253279181086737181,1402874701225388646
n1000-g1.25-t0.8-r1-h31042,17,677,853,1.259970457902511,541,0.8005908419497785,0.7991137370753324,0.634232121922626,541,644,2253279181086737181,1402874701225388646,1553425003596823705,1754792764004595386
n1000-g1.25-t0.8-r1-h31042,18,853,1069,1.2532239155920282,682,0.8007033997655334,0.7995310668229777,0.6379794200187091,682,220,1553425003596823705,1754792764004595386,616306861933080492,1569437286289445084
n1000-g1.25-t0.8-r1-h31042,19,1069,1361,1.2731524789522919,855,0.8007483629560337,0.7998129092609916,0.6282145481263777,855,240,616306861933080492,1569437286289445084,335617465972059138,581327705028044665
n1000-g1.5-t0.5-r1-h31042,1,11,17,1.5454545454545454,5,0.5454545454545454,0.45454545454545453,0.29411764705882354,5,1,1747481948824663489,1018574062632349030,1568554954941751187,1058122835884555215
n1000-g1.5-t0.5-r1-h31042,2,17,29,1.7058823529411764,8,0.5294117647058824,0.47058823529411764,0.27586206896551724,8,2,1568554954941751187,1058122835884555215,1066652072911828271,605471332473462994
n1000-g1.5-t0.5-r1-h31042,3,29,47,1.6206896551724137,14,0.5172413793103449,0.4827586206896552,0.2978723404255319,14,2,1066652072911828271,605471332473462994,1039257429923810267,1671058991692678914
