run_id,git_commit,python_version,platform,cpu,n,gamma_nominal,gamma_effective_mean,tau,m0,final_capacity,final_size,final_load_factor,key_family,key_seed,order_seed,hash_seed,repetition,elapsed_ns,time_per_operation_ns,latency_p50_ns,latency_p95_ns,latency_p99_ns,latency_max_ns,resize_count,moved_entries,migrations_per_insertion,hash_evaluations,key_comparisons,insert_collision_events,pair_collisions,pair_collisions_per_key,universal_pair_bound,bound_ratio,max_chain_length,bucket_assignments,bucket_slots_peak,unused_capacity,structural_bytes_final,bytes_per_element,tracemalloc_peak_bytes,gc_enabled,hash_a,hash_b,hash_prime
n1000-g1.25-t0.9-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.25,1.2901634020556063,0.9,11,1361,1000,0.7347538574577517,random,21042,41042,61042,2,37003900,37003.9,7400.0,9900.0,419088.99999999825,6660100,19,4564,4.564,5564,799,537,357,0.357,367.00955180014694,0.9727267267267268,5,5564,2430,361,138352,138.352,227692,True,1075325229156238333,1144060348074079302,2305843009213693951
n1000-g3-t0.7-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,3.0,3.105358850890993,0.7,11,3163,1000,0.3161555485298767,random,21042,41042,61042,2,19995200,19995.2,7900.0,9300.0,27473.99999999993,7682300,5,1087,1.087,2087,400,324,133,0.133,157.9196964906734,0.8422002002002003,3,2087,4212,2163,259200,259.2,321684,True,1188444190361409708,1222792329126878359,2305843009213693951
n1000-g1.25-t0.7-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.25,1.2884399490725909,0.7,11,1709,1000,0.5851375073142189,random,21042,41042,61042,2,57292500,57292.5,8000.0,18100.0,435919.9999999982,10706400,20,4498,4.498,5498,629,467,267,0.267,292.2761849034523,0.9135195195195196,4,5498,3070,709,162512,162.512,270676,True,1254001137605848056,1967034465992936071,2305843009213693951
n1000-g4-t0.7-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,4.0,4.091659060195906,0.7,11,3079,1000,0.3247807729782397,random,21042,41042,61042,2,28344400,28344.4,11000.0,18600.0,33408.99999999999,9598700,4,710,0.71,1710,310,256,130,0.13,162.22799610263073,0.8013413413413414,4,1710,3848,2079,254592,254.592,283472,True,2011184558553096122,19687810642650080,2305843009213693951
n1000-g3-t0.8-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,3.0,3.105358850890993,0.8,11,3163,1000,0.3161555485298767,random,21042,41042,61042,2,26467200,26467.2,7400.0,16100.0,28250.99999999986,12087500,5,1243,1.243,2243,492,382,133,0.133,157.9196964906734,0.8422002002002003,3,2243,4212,2163,259200,259.2,328308,True,1188444190361409708,1222792329126878359,2305843009213693951
n1000-g2-t0.9-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,2.0,2.036527741565147,0.9,11,1597,1000,0.6261740763932373,random,21042,41042,61042,2,18279900,18279.9,6900.0,8800.0,19820.99999999998,5543200,7,1409,1.409,2409,644,471,322,0.322,312.77395115842205,1.0294974974974975,5,2409,2394,597,155472,155.472,205316,True,1852154909246091954,673350768184342330,2305843009213693951
n1000-g1.5-t0.9-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.5,1.543133042590002,0.9,11,1289,1000,0.7757951900698216,random,21042,41042,61042,2,36716700,36716.7,8900.0,18200.0,92110.0,8281000,11,2246,2.246,3246,686,489,408,0.408,387.5096974398759,1.0528768768768768,5,3246,2146,289,133712,133.712,194968,True,679054236071952800,436588455935247705,2305843009213693951
n1000-g4-t0.5-r3-h91042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,4.0,4.091659060195906,0.5,11,3079,1000,0.3247807729782397,random,31042,61042,91042,3,19877700,19877.7,7400.0,15600.0,40301.0,7355900,4,507,0.507,1507,232,211,146,0.146,162.22799610263073,0.899967967967968,3,1507,3848,2079,254112,254.112,272472,True,450687491159988125,478393709983906151,2305843009213693951
n1000-g1.5-t0.8-r3-h91042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.5,1.543133042590002,0.8,11,1289,1000,0.7757951900698216,random,31042,61042,91042,3,21658200,21658.2,7000.0,9009.99999999999,73531.99999999997,4540700,11,1995,1.995,2995,643,466,365,0.365,387.5096974398759,0.9419119119119119,5,2995,2146,289,134320,134.32,189012,True,899562782064138328,574077191073454396,2305843009213693951
n1000-g2-t0.7-r3-h91042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,2.0,2.036527741565147,0.7,11,1597,1000,0.6261740763932373,random,31042,61042,91042,3,22243600,22243.6,7500.0,14300.0,38803.999999999905,6810900,7,1093,1.093,2093,495,388,296,0.296,312.77395115842205,0.9463703703703703,4,2093,2394,597,155920,155.92,195088,True,1472131402324698637,1317599128310044882,2305843009213693951
