n,growth_factor,load_threshold,input_type,elapsed_time_mean,elapsed_time_median,elapsed_time_std,elapsed_time_min,elapsed_time_max,time_per_operation_mean,time_per_operation_median,time_per_operation_std,time_per_operation_min,time_per_operation_max,collisions_mean,collisions_median,collisions_std,collisions_min,collisions_max,rehashes_mean,rehashes_median,rehashes_std,rehashes_min,rehashes_max,rehash_operations_mean,rehash_operations_median,rehash_operations_std,rehash_operations_min,rehash_operations_max,final_capacity_mean,final_capacity_median,final_capacity_std,final_capacity_min,final_capacity_max,unused_capacity_mean,unused_capacity_median,unused_capacity_std,unused_capacity_min,unused_capacity_max,utilization_mean,utilization_median,utilization_std,utilization_min,utilization_max,estimated_memory_mean,estimated_memory_median,estimated_memory_std,estimated_memory_min,estimated_memory_max,total_operation_cost_mean,total_operation_cost_median,total_operation_cost_std,total_operation_cost_min,total_operation_cost_max,amortized_cost_mean,amortized_cost_median,amortized_cost_std,amortized_cost_min,amortized_cost_max
10000,1.5,0.9,random,0.01720383333449713,0.0132030500026303,0.010436896979327471,0.0123364000028232,0.0457074000005377,1.7203833334497176e-06,1.3203050002630332e-06,1.043689697932748e-06,1.2336400002823211e-06,4.570740000053774e-06,5221.7,5168.5,254.47554587479706,5060,6469,17.0,17.0,0.0,17,17,28589.0,28589.0,0.0,28589,28589,15897.0,15897.0,0.0,15897,15897,5897.0,5897.0,0.0,5897,5897,0.6290495061961376,0.6290495061961376,0.0,0.6290495061961376,0.6290495061961376,1547912.5333333334,1548528.0,4433.498033065476,1525424,1552080,115767.0,115767.0,0.0,115767,115767,11.5767,11.5767,0.0,11.5767,11.5767
10000,2.0,0.5,random,0.017908909999823617,0.01106989999971115,0.012793100954368626,0.0101664999965578,0.0432158000039635,1.7908909999823665e-06,1.1069899999711199e-06,1.2793100954368622e-06,1.0166499996557832e-06,4.321580000396352e-06,2873.2,2847.0,87.71757186443948,2739,3096,11.0,11.0,0.0,11,11,16387.0,16387.0,0.0,16387,16387,32768.0,32768.0,0.0,32768,32768,22768.0,22768.0,0.0,22768,22768,0.30517578125,0.30517578125,0.0,0.30517578125,0.30517578125,2671656.0,2673384.0,5513.901278618069,2647640,2675608,79161.0,79161.0,0.0,79161,79161,7.9161,7.9161,0.0,7.9161,7.9161
10000,2.0,0.75,random,0.011031530001976788,0.0080662999971536,0.009076007860246524,0.0075839000055566,0.0383176000032108,1.1031530001976838e-06,8.066299997153692e-07,9.076007860246524e-07,7.583900005556643e-07,3.831760000321083e-06,4027.766666666667,4023.0,56.73208867173383,3948,4162,10.0,10.0,0.0,10,10,12286.0,12286.0,0.0,12286,12286,16384.0,16384.0,0.0,16384,16384,6384.0,6384.0,0.0,6384,6384,0.6103515625,0.6103515625,0.0,0.6103515625,0.6103515625,1577199.4666666666,1577800.0,2385.7516668949024,1568376,1580248,66858.0,66858.0,0.0,66858,66858,6.6858,6.6858,0.0,6.6858,6.6858
10000,2.0,0.9,random,0.012462889998278067,0.00863459999527545,0.01003087557120347,0.0079808000009506,0.0381783000048017,1.2462889998278115e-06,8.634599995275494e-07,1.0030875571203463e-06,7.980800000950694e-07,3.817830000480172e-06,4589.533333333334,4588.0,49.331904297413665,4508,4713,10.0,10.0,0.0,10,10,14736.0,14736.0,0.0,14736,14736,16384.0,16384.0,0.0,16384,16384,6384.0,6384.0,0.0,6384,6384,0.6103515625,0.6103515625,0.0,0.6103515625,0.6103515625,1577199.4666666666,1577800.0,2385.7516668949024,1568376,1580248,74208.0,74208.0,0.0,74208,74208,7.4208,7.4208,0.0,7.4208,7.4208
10000,3.0,0.5,random,0.01291494333466587,0.0080715000003692,0.011314180619196167,0.0070010000054026,0.0400084000139031,1.2914943334665925e-06,8.071500000369269e-07,1.1314180619196167e-06,7.001000005402602e-07,4.000840001390316e-06,2353.3,2338.0,129.7411614157868,2262,3016,7.0,7.0,0.0,7,7,8751.0,8751.0,0.0,8751,8751,34992.0,34992.0,0.0,34992,34992,24992.0,24992.0,0.0,24992,24992,0.2857796067672611,0.2857796067672611,0.0,0.2857796067672611,0.2857796067672611,2834682.1333333333,2834984.0,3137.451411722618,2819000,2837272,56253.0,56253.0,0.0,56253,56253,5.6253,5.6253,0.0,5.6253,5.6253
10000,3.0,0.75,random,0.015479686668065023,0.00924249999661695,0.012660969952809527,0.0086172000010265,0.0420157000044127,1.5479686668065065e-06,9.24249999661697e-07,1.2660969952809535e-06,8.617200001026504e-07,4.201570000441279e-06,3596.7,3577.5,150.72883851015615,3491,4368,7.0,7.0,0.0,7,7,13123.0,13123.0,0.0,13123,13123,34992.0,34992.0,0.0,34992,34992,24992.0,24992.0,0.0,24992,24992,0.2857796067672611,0.2857796067672611,0.0,0.2857796067672611,0.2857796067672611,2834682.1333333333,2834984.0,3137.451411722618,2819000,2837272,69369.0,69369.0,0.0,69369,69369,6.9369,6.9369,0.0,6.9369,6.9369
10000,3.0,0.9,random,0.007411640002101144,0.005386100005125551,0.007725738779741143,0.0048490000044694,0.0374446000059833,7.411640002101194e-07,5.386100005125627e-07,7.72573877974115e-07,4.849000004469417e-07,3.7444600005983378e-06,4304.733333333334,4276.0,150.38156832522432,4198,5074,6.0,6.0,0.0,6,6,5245.0,5245.0,0.0,5245,5245,11664.0,11664.0,0.0,11664,11664,1664.0,1664.0,0.0,1664,1664,0.8573388203017832,0.8573388203017832,0.0,0.8573388203017832,0.8573388203017832,1246399.4666666666,1247432.0,5258.926780072229,1219160,1248824,45735.0,45735.0,0.0,45735,45735,4.5735,4.5735,0.0,4.5735,4.5735
25000,1.5,0.5,random,0.05393459666568859,0.06410464999498795,0.01747358542399995,0.0330735000025015,0.0850765999930445,2.1573838666275455e-06,2.56418599979952e-06,6.989434169599983e-07,1.3229400001000614e-06,3.4030639997217805e-06,8750.033333333333,8164.5,1388.8407590587874,7958,13105,20.0,20.0,0.0,20,20,53649.0,53649.0,0.0,53649,53649,53654.0,53654.0,0.0,53654,53654,28654.0,28654.0,0.0,28654,28654,0.4659484847355276,0.4659484847355276,0.0,0.4659484847355276,0.4659484847355276,4786149.866666666,4799032.0,56715.7163474923,4491112,4804648,235947.0,235947.0,0.0,235947,235947,9.43788,9.43788,0.0,9.43788,9.43788
25000,1.5,0.75,random,0.04169810999980348,0.0309221499992418,0.015168848830409525,0.0288217999914195,0.0638537999911932,1.6679243999921405e-06,1.2368859999696724e-06,6.067539532163809e-07,1.1528719996567817e-06,2.554151999647729e-06,11852.566666666668,11317.0,1569.0468594425208,11104,17299,19.0,19.0,0.0,19,19,53635.0,53635.0,0.0,53635,53635,35769.0,35769.0,0.0,35769,35769,10769.0,10769.0,0.0,10769,10769,0.6989292404037015,0.6989292404037015,0.0,0.6989292404037015,0.6989292404037015,3572645.3333333335,3599264.0,74956.40138076287,3329264,3604048,235905.0,235905.0,0.0,235905,235905,9.436200000000001,9.4362,0.0,9.4362,9.4362
25000,1.5,0.9,random,0.045538593333427906,0.034112649998860406,0.019606954085510067,0.0317881999944802,0.1152457999996841,1.821543733337118e-06,1.3645059999544173e-06,7.842781634204024e-07,1.2715279997792096e-06,4.609831999987364e-06,13200.066666666668,12815.5,1200.1106539020457,12579,17468,19.0,19.0,0.0,19,19,64359.0,64359.0,0.0,64359,64359,35769.0,35769.0,0.0,35769,35769,10769.0,10769.0,0.0,10769,10769,0.6989292404037015,0.6989292404037015,0.0,0.6989292404037015,0.6989292404037015,3572645.3333333335,3599264.0,74956.40138076287,3329264,3604048,268077.0,268077.0,0.0,268077,268077,10.72308,10.72308,0.0,10.72308,10.72308
